NO,JARINGAN PENGAMATAN,NO STASIUN,LINTANG,BUJUR,DESA,KECAMATAN,KAB/KOTA,PROVINSI,JARINGAN
1,Pos Hujan,53032001a,-9.49118,124.54406,,,Kab. Timor Tengah Utara,Nusa Tenggara Timur,PHOBS
2,Pos Hujan,53040101a,-9.11459,125.09042,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
3,Pos Hujan,53040201a,-9.12758,124.98228,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
4,Pos Hujan,53040202a,-9.11983,124.9796,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
5,Pos Hujan,53040401a,-9.09594,124.89478,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
6,Pos Hujan,53040402a,-9.20884,124.87718,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
7,Pos Hujan,53040403a,-9.23982,124.89706,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
8,Pos Hujan,53040501a,-9.03944,124.8319,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
9,Pos Hujan,53040502a,-8.97391,124.92279,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
10,Pos Hujan,53040601a,-9.41694,124.9064,,,Kab. Malaka,Nusa Tenggara Timur,PHOBS
11,Pos Hujan,53040701a,-9.51652,124.98353,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
12,Pos Hujan,53040702a,-9.5168,124.95186,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
13,Pos Hujan,53040802a,-9.55,124.9,,,Kab. Malaka,Nusa Tenggara Timur,PHOBS
14,Pos Hujan,53040901a,-9.55367,124.86365,,,Kab. Malaka,Nusa Tenggara Timur,PHOBS
15,Pos Hujan,53041001a,-9.62806,124.8664,,,Kab. Malaka,Nusa Tenggara Timur,PHOBS
16,Pos Hujan,53041002a,-9.67701,124.8968,,,Kab. Malaka,Nusa Tenggara Timur,PHOBS
17,Pos Hujan,53041101a,-9.60987,124.74088,,,Kab. Malaka,Nusa Tenggara Timur,PHOBS
18,Pos Hujan,53041102a,-9.60538,124.74098,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
19,Pos Hujan,53041301a,-9.36275,124.90909,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
20,Pos Hujan,53041401a,-9.41508,124.83148,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
21,Pos Hujan,53041501a,-9.73966,124.83939,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
22,Pos Hujan,53041601a,-9.61784,124.86038,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
23,Pos Hujan,53041801a,-9.155,125.12061,,,Kab. Belu,Nusa Tenggara Timur,PHOBS
24,Pos Hujan,53050101a,-8.22893,124.56696,,,Kab. Alor,Nusa Tenggara Timur,PHOBS
25,Pos Hujan,53050201a,-8.1576,124.45297,,,Kab. Alor,Nusa Tenggara Timur,PHOBS
26,Pos Hujan,53050202a,-8.25025,124.53271,,,Kab. Alor,Nusa Tenggara Timur,PHOBS
27,Pos Hujan,53050301a,-8.26837,124.4987,,,Kab. Alor,Nusa Tenggara Timur,PHOBS
28,Pos Hujan,53050401a,-8.30077,124.72822,,,Kab. Alor,Nusa Tenggara Timur,PHOBS
29,Pos Hujan,53050501a,-8.2827,125.12658,,,Kab. Alor,Nusa Tenggara Timur,PHOBS
30,Pos Hujan,53050502a,-8.26616,124.95769,,,Kab. Alor,Nusa Tenggara Timur,PHOBS
31,Pos Hujan,53050503a,-8.1539,124.7523,,,Kab. Alor,Nusa Tenggara Timur,PHOBS
32,Pos Hujan,53050601a,-8.3654,124.0857,,,Kab. Alor,Nusa Tenggara Timur,PHOBS
33,Pos Hujan,53050602a,-8.24733,124.22152,,,Kab. Alor,Nusa Tenggara Timur,PHOBS
